Recognition Log: Jotsna Gowda & Diksha Verma,$1 Algorithm
User[all-users],GestureType[all-gestures-types],RandomIteration[1to100],#ofTrainingExamples[E],TrainingSetSize[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],Correct/Incorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted
user1,v,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-v-5::::,user1-v-1::::,1,0.9600193365326437,user1-v-1::::,user1-triangle-1-0.9600193365326437::::user1-delete-4-0.9600193365326437::::user1-circle-0-0.9600193365326437::::user1-caret-3-0.9600193365326437::::user1-check-5-0.9600193365326437::::user1-left-square-bracket-2-0.9600193365326437::::user1-zig-zig-1-0.9600193365326437::::user1-arrow-2-0.9600193365326437::::user1-pigtail-9-0.9600193365326437::::user1-x-6-0.9600193365326437::::user1-right-square-bracket-5-0.9600193365326437::::user1-rectangle-5-0.9600193365326437::::user1-star-2-0.9600193365326437::::user1-left-curly-brace-4-0.9600193365326437::::user1-right-curly-brace-6-0.9600193365326437::::user1-v-1-0.9600193365326437::::user1-v-1--inf::::
user1,triangle,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-triangle-2::::,user1-triangle-1::::,1,0.8920557108174159,user1-triangle-1::::,user1-delete-4-0.8920557108174159::::user1-circle-0-0.8920557108174159::::user1-caret-3-0.8920557108174159::::user1-check-5-0.8920557108174159::::user1-left-square-bracket-2-0.8920557108174159::::user1-zig-zig-1-0.8920557108174159::::user1-arrow-2-0.8920557108174159::::user1-pigtail-9-0.8920557108174159::::user1-x-6-0.8920557108174159::::user1-right-square-bracket-5-0.8920557108174159::::user1-rectangle-5-0.8920557108174159::::user1-star-2-0.8920557108174159::::user1-left-curly-brace-4-0.8920557108174159::::user1-right-curly-brace-6-0.8920557108174159::::user1-triangle-1-0.8920557108174159::::user1-triangle-1-0.4881798049908751::::user1-v-1--inf::::
user1,delete,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-delete-9::::,user1-delete-4::::,1,0.759000749880257,user1-delete-4::::,user1-circle-0-0.759000749880257::::user1-caret-3-0.759000749880257::::user1-check-5-0.759000749880257::::user1-left-square-bracket-2-0.759000749880257::::user1-zig-zig-1-0.759000749880257::::user1-arrow-2-0.759000749880257::::user1-pigtail-9-0.759000749880257::::user1-x-6-0.759000749880257::::user1-right-square-bracket-5-0.759000749880257::::user1-rectangle-5-0.759000749880257::::user1-star-2-0.759000749880257::::user1-left-curly-brace-4-0.759000749880257::::user1-right-curly-brace-6-0.759000749880257::::user1-delete-4-0.759000749880257::::user1-triangle-1-0.673331810198835::::user1-delete-4-0.673331810198835::::user1-v-1--inf::::
user1,circle,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-circle-7::::,user1-circle-0::::,1,0.9389577345346156,user1-circle-0::::,user1-caret-3-0.9389577345346156::::user1-check-5-0.9389577345346156::::user1-left-square-bracket-2-0.9389577345346156::::user1-zig-zig-1-0.9389577345346156::::user1-arrow-2-0.9389577345346156::::user1-pigtail-9-0.9389577345346156::::user1-x-6-0.9389577345346156::::user1-right-square-bracket-5-0.9389577345346156::::user1-rectangle-5-0.9389577345346156::::user1-star-2-0.9389577345346156::::user1-left-curly-brace-4-0.9389577345346156::::user1-right-curly-brace-6-0.9389577345346156::::user1-circle-0-0.9389577345346156::::user1-delete-4-0.8038775710328993::::user1-circle-0-0.8038775710328993::::user1-triangle-1-0.44208545051752::::user1-v-1--inf::::
user1,caret,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-caret-0::::,user1-caret-3::::,1,0.8433566745308751,user1-caret-3::::,user1-check-5-0.8433566745308751::::user1-left-square-bracket-2-0.8433566745308751::::user1-zig-zig-1-0.8433566745308751::::user1-arrow-2-0.8433566745308751::::user1-pigtail-9-0.8433566745308751::::user1-x-6-0.8433566745308751::::user1-right-square-bracket-5-0.8433566745308751::::user1-rectangle-5-0.8433566745308751::::user1-star-2-0.8433566745308751::::user1-left-curly-brace-4-0.8433566745308751::::user1-right-curly-brace-6-0.8433566745308751::::user1-caret-3-0.8433566745308751::::user1-circle-0-0.4430653108465876::::user1-caret-3-0.4430653108465876::::user1-triangle-1-0.34286806174653317::::user1-delete-4-0.34286806174653317::::user1-v-1--inf::::
user1,check,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-check-0::::,user1-check-5::::,1,0.9499907271518148,user1-check-5::::,user1-left-square-bracket-2-0.9499907271518148::::user1-zig-zig-1-0.9499907271518148::::user1-arrow-2-0.9499907271518148::::user1-pigtail-9-0.9499907271518148::::user1-x-6-0.9499907271518148::::user1-right-square-bracket-5-0.9499907271518148::::user1-rectangle-5-0.9499907271518148::::user1-star-2-0.9499907271518148::::user1-left-curly-brace-4-0.9499907271518148::::user1-right-curly-brace-6-0.9499907271518148::::user1-check-5-0.9499907271518148::::user1-triangle-1-0.6286771346085154::::user1-delete-4-0.6286771346085154::::user1-circle-0-0.6286771346085154::::user1-caret-3-0.6286771346085154::::user1-check-5-0.6286771346085154::::user1-v-1--inf::::
user1,left-square-bracket,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-left-square-bracket-4::::,user1-left-square-bracket-2::::,1,0.9108969589249089,user1-left-square-bracket-2::::,user1-zig-zig-1-0.9108969589249089::::user1-arrow-2-0.9108969589249089::::user1-pigtail-9-0.9108969589249089::::user1-x-6-0.9108969589249089::::user1-right-square-bracket-5-0.9108969589249089::::user1-rectangle-5-0.9108969589249089::::user1-star-2-0.9108969589249089::::user1-left-curly-brace-4-0.9108969589249089::::user1-right-curly-brace-6-0.9108969589249089::::user1-left-square-bracket-2-0.9108969589249089::::user1-left-square-bracket-2-0.7732523329195862::::user1-triangle-1-0.7212489164582647::::user1-delete-4-0.7212489164582647::::user1-circle-0-0.7212489164582647::::user1-caret-3-0.7212489164582647::::user1-check-5-0.7212489164582647::::user1-v-1--inf::::
user1,zig-zig,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-zig-zig-2::::,user1-zig-zig-1::::,1,0.8436164282243155,user1-zig-zig-1::::,user1-arrow-2-0.8436164282243155::::user1-pigtail-9-0.8436164282243155::::user1-x-6-0.8436164282243155::::user1-right-square-bracket-5-0.8436164282243155::::user1-rectangle-5-0.8436164282243155::::user1-star-2-0.8436164282243155::::user1-left-curly-brace-4-0.8436164282243155::::user1-right-curly-brace-6-0.8436164282243155::::user1-zig-zig-1-0.8436164282243155::::user1-zig-zig-1-0.5293606471047285::::user1-left-square-bracket-2-0.5057603703801006::::user1-triangle-1-0.4785831057950941::::user1-delete-4-0.4785831057950941::::user1-circle-0-0.4785831057950941::::user1-caret-3-0.4785831057950941::::user1-check-5-0.4785831057950941::::user1-v-1--inf::::
user1,arrow,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-arrow-6::::,user1-arrow-2::::,1,0.8740920409887432,user1-arrow-2::::,user1-pigtail-9-0.8740920409887432::::user1-x-6-0.8740920409887432::::user1-right-square-bracket-5-0.8740920409887432::::user1-rectangle-5-0.8740920409887432::::user1-star-2-0.8740920409887432::::user1-left-curly-brace-4-0.8740920409887432::::user1-right-curly-brace-6-0.8740920409887432::::user1-arrow-2-0.8740920409887432::::user1-check-5-0.7006240711670615::::user1-left-square-bracket-2-0.7006240711670615::::user1-zig-zig-1-0.7006240711670615::::user1-arrow-2-0.7006240711670615::::user1-triangle-1-0.36560658345722663::::user1-delete-4-0.36560658345722663::::user1-circle-0-0.36560658345722663::::user1-caret-3-0.36560658345722663::::user1-v-1--inf::::
user1,pigtail,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-pigtail-8::::,user1-x-6::::,0,0.8594243528325077,user1-x-6::::,user1-right-square-bracket-5-0.8594243528325077::::user1-rectangle-5-0.8594243528325077::::user1-star-2-0.8594243528325077::::user1-left-curly-brace-4-0.8594243528325077::::user1-right-curly-brace-6-0.8594243528325077::::user1-x-6-0.8594243528325077::::user1-x-6-0.8443132724165268::::user1-check-5-0.7337267692399205::::user1-left-square-bracket-2-0.7337267692399205::::user1-zig-zig-1-0.7337267692399205::::user1-arrow-2-0.7337267692399205::::user1-pigtail-9-0.7337267692399205::::user1-circle-0-0.48409866434957827::::user1-caret-3-0.48409866434957827::::user1-delete-4-0.37641019855399227::::user1-triangle-1-0.305360958940313::::user1-v-1--inf::::
