Recognition Log: Jotsna Gowda & Diksha Verma,$1 Algorithm
User[all-users],GestureType[all-gestures-types],RandomIteration[1to100],#ofTrainingExamples[E],TrainingSetSize[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],Correct/Incorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted
s02,v,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-v-1,s02-v-9,1,0.9249754946713243,s02-v-9,s02-star-9-0.9249754946713243-----s02-arrow-5-0.9249754946713243-----s02-left_curly_brace-1-0.9249754946713243-----s02-triangle-4-0.9249754946713243-----s02-pigtail-6-0.9249754946713243-----s02-right_sq_bracket-1-0.9249754946713243-----s02-rectangle-0-0.9249754946713243-----s02-question_mark-7-0.9249754946713243-----s02-delete_mark-5-0.9249754946713243-----s02-caret-3-0.9249754946713243-----s02-right_curly_brace-0-0.9249754946713243-----s02-check-6-0.9249754946713243-----s02-circle-2-0.9249754946713243-----s02-x-2-0.9249754946713243-----s02-left_sq_bracket-7-0.9249754946713243-----s02-v-9--inf-----
s02,star,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-star-3,s02-star-9,1,0.8998374837087216,s02-star-9,s02-arrow-5-0.8998374837087216-----s02-left_curly_brace-1-0.8998374837087216-----s02-triangle-4-0.8998374837087216-----s02-pigtail-6-0.8998374837087216-----s02-right_sq_bracket-1-0.8998374837087216-----s02-rectangle-0-0.8998374837087216-----s02-question_mark-7-0.8998374837087216-----s02-delete_mark-5-0.8998374837087216-----s02-caret-3-0.8998374837087216-----s02-right_curly_brace-0-0.8998374837087216-----s02-check-6-0.8998374837087216-----s02-circle-2-0.8998374837087216-----s02-x-2-0.8998374837087216-----s02-left_sq_bracket-7-0.8998374837087216-----s02-star-9-0.32053035956103293-----s02-v-9--inf-----
s02,arrow,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-arrow-6,s02-arrow-5,1,0.9267482515142265,s02-arrow-5,s02-left_curly_brace-1-0.9267482515142265-----s02-triangle-4-0.9267482515142265-----s02-pigtail-6-0.9267482515142265-----s02-right_sq_bracket-1-0.9267482515142265-----s02-rectangle-0-0.9267482515142265-----s02-question_mark-7-0.9267482515142265-----s02-delete_mark-5-0.9267482515142265-----s02-caret-3-0.9267482515142265-----s02-right_curly_brace-0-0.9267482515142265-----s02-check-6-0.9267482515142265-----s02-circle-2-0.9267482515142265-----s02-x-2-0.9267482515142265-----s02-left_sq_bracket-7-0.9267482515142265-----s02-star-9-0.5181561612892999-----s02-arrow-5-0.5181561612892999-----s02-v-9--inf-----
s02,left_curly_brace,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-left_curly_brace-3,s02-left_curly_brace-1,1,0.9177753120720266,s02-left_curly_brace-1,s02-triangle-4-0.9177753120720266-----s02-pigtail-6-0.9177753120720266-----s02-right_sq_bracket-1-0.9177753120720266-----s02-rectangle-0-0.9177753120720266-----s02-question_mark-7-0.9177753120720266-----s02-delete_mark-5-0.9177753120720266-----s02-caret-3-0.9177753120720266-----s02-right_curly_brace-0-0.9177753120720266-----s02-check-6-0.9177753120720266-----s02-circle-2-0.9177753120720266-----s02-x-2-0.9177753120720266-----s02-left_sq_bracket-7-0.9177753120720266-----s02-star-9-0.6424562046261464-----s02-arrow-5-0.6424562046261464-----s02-left_curly_brace-1-0.6424562046261464-----s02-v-9--inf-----
s02,triangle,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-triangle-3,s02-triangle-4,1,0.9147469270713252,s02-triangle-4,s02-pigtail-6-0.9147469270713252-----s02-right_sq_bracket-1-0.9147469270713252-----s02-rectangle-0-0.9147469270713252-----s02-question_mark-7-0.9147469270713252-----s02-delete_mark-5-0.9147469270713252-----s02-caret-3-0.9147469270713252-----s02-right_curly_brace-0-0.9147469270713252-----s02-check-6-0.9147469270713252-----s02-circle-2-0.9147469270713252-----s02-x-2-0.9147469270713252-----s02-left_sq_bracket-7-0.9147469270713252-----s02-star-9-0.5835205124940808-----s02-arrow-5-0.5835205124940808-----s02-left_curly_brace-1-0.5835205124940808-----s02-triangle-4-0.5835205124940808-----s02-v-9--inf-----
s02,pigtail,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-pigtail-3,s02-pigtail-6,1,0.84659327630269,s02-pigtail-6,s02-right_sq_bracket-1-0.84659327630269-----s02-rectangle-0-0.84659327630269-----s02-question_mark-7-0.84659327630269-----s02-delete_mark-5-0.84659327630269-----s02-caret-3-0.84659327630269-----s02-right_curly_brace-0-0.84659327630269-----s02-check-6-0.84659327630269-----s02-circle-2-0.84659327630269-----s02-x-2-0.84659327630269-----s02-left_sq_bracket-7-0.84659327630269-----s02-left_curly_brace-1-0.6262966895379769-----s02-triangle-4-0.6262966895379769-----s02-pigtail-6-0.6262966895379769-----s02-star-9-0.3838469670002136-----s02-arrow-5-0.3838469670002136-----s02-v-9--inf-----
s02,right_sq_bracket,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-right_sq_bracket-2,s02-right_sq_bracket-1,1,0.9274909562280084,s02-right_sq_bracket-1,s02-rectangle-0-0.9274909562280084-----s02-question_mark-7-0.9274909562280084-----s02-delete_mark-5-0.9274909562280084-----s02-caret-3-0.9274909562280084-----s02-right_curly_brace-0-0.9274909562280084-----s02-check-6-0.9274909562280084-----s02-circle-2-0.9274909562280084-----s02-x-2-0.9274909562280084-----s02-left_sq_bracket-7-0.9274909562280084-----s02-left_curly_brace-1-0.5621394313679076-----s02-triangle-4-0.5621394313679076-----s02-pigtail-6-0.5621394313679076-----s02-right_sq_bracket-1-0.5621394313679076-----s02-star-9-0.2882423659433485-----s02-arrow-5-0.2882423659433485-----s02-v-9--inf-----
s02,rectangle,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-rectangle-5,s02-rectangle-0,1,0.927987829037727,s02-rectangle-0,s02-question_mark-7-0.927987829037727-----s02-delete_mark-5-0.927987829037727-----s02-caret-3-0.927987829037727-----s02-right_curly_brace-0-0.927987829037727-----s02-check-6-0.927987829037727-----s02-circle-2-0.927987829037727-----s02-x-2-0.927987829037727-----s02-left_sq_bracket-7-0.927987829037727-----s02-pigtail-6-0.7631639941363527-----s02-right_sq_bracket-1-0.7631639941363527-----s02-rectangle-0-0.7631639941363527-----s02-star-9-0.6005150503777248-----s02-arrow-5-0.6005150503777248-----s02-left_curly_brace-1-0.6005150503777248-----s02-triangle-4-0.6005150503777248-----s02-v-9--inf-----
s02,question_mark,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-question_mark-9,s02-question_mark-7,1,0.8942265414039514,s02-question_mark-7,s02-delete_mark-5-0.8942265414039514-----s02-caret-3-0.8942265414039514-----s02-right_curly_brace-0-0.8942265414039514-----s02-check-6-0.8942265414039514-----s02-circle-2-0.8942265414039514-----s02-x-2-0.8942265414039514-----s02-left_sq_bracket-7-0.8942265414039514-----s02-rectangle-0-0.7914078575777498-----s02-question_mark-7-0.7914078575777498-----s02-right_sq_bracket-1-0.49074252294517684-----s02-left_curly_brace-1-0.42295116034635205-----s02-triangle-4-0.42295116034635205-----s02-pigtail-6-0.42295116034635205-----s02-star-9-0.19301123158631617-----s02-arrow-5-0.19301123158631617-----s02-v-9--inf-----
s02,delete_mark,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-delete_mark-6,s02-delete_mark-5,1,0.8686996275072391,s02-delete_mark-5,s02-caret-3-0.8686996275072391-----s02-right_curly_brace-0-0.8686996275072391-----s02-check-6-0.8686996275072391-----s02-circle-2-0.8686996275072391-----s02-x-2-0.8686996275072391-----s02-left_sq_bracket-7-0.8686996275072391-----s02-star-9-0.5475214160723816-----s02-arrow-5-0.5475214160723816-----s02-left_curly_brace-1-0.5475214160723816-----s02-triangle-4-0.5475214160723816-----s02-pigtail-6-0.5475214160723816-----s02-right_sq_bracket-1-0.5475214160723816-----s02-rectangle-0-0.5475214160723816-----s02-question_mark-7-0.5475214160723816-----s02-delete_mark-5-0.5475214160723816-----s02-v-9--inf-----
